Close,Timestamp,High,Low,Open
16843.97,1669824000000,16865.43,16843.97,16865.43
16857.35,1669824300000,16857.35,16843.98,16846.99
16866.51,1669824600000,16878.29,16854.89,16854.89
16861.53,1669824900000,16895.84,16861.53,16870.34
16889.77,1669825200000,16889.77,16862.24,16864.62
16876.10,1669825500000,16889.76,16874.10,16889.76
16875.61,1669825800000,16887.83,16873.86,16885.71
16866.53,1669826100000,16883.95,16861.56,16876.74
16834.98,1669826400000,16897.23,16830.00,16873.09
16849.84,1669826700000,16850.67,16839.85,16841.91
16850.90,1669827000000,16853.85,16844.18,16853.63
16862.56,1669827300000,16862.56,16846.87,16852.34
16860.35,1669827600000,16868.78,16860.13,16860.13
16844.86,1669827900000,16862.76,16840.00,16862.76
16846.93,1669828200000,16850.09,16840.60,16847.49
16826.09,1669828500000,16845.75,16826.09,16845.73
16739.99,1669828800000,16825.66,16737.00,16825.66
16760.14,1669829100000,16766.10,16737.01,16738.83
16766.73,1669829400000,16770.48,16746.16,16768.14
16774.93,1669829700000,16775.29,16761.56,16769.32
16787.90,1669830000000,16792.51,16768.91,16775.96
16783.90,1669830300000,16783.90,16770.42,16783.65
16776.09,1669830600000,16780.86,16769.99,16780.86
16784.84,1669830900000,16792.38,16761.20,16783.35
16769.21,1669831200000,16785.02,16768.05,16785.02
16761.19,1669831500000,16766.61,16755.27,16763.32
16784.88,1669831800000,16786.59,16761.32,16762.45
16771.85,1669832100000,16785.09,16771.85,16785.09
16773.46,1669832400000,16782.88,16771.61,16771.85
16756.31,1669832700000,16777.49,16756.31,16773.24
16850.47,1669833000000,16864.36,16720.00,16749.80
16931.89,1669833300000,16977.17,16824.11,16841.40
16878.55,1669833600000,16931.83,16840.68,16917.34
16919.60,1669833900000,16925.17,16840.00,16882.14
16895.65,1669834200000,16921.64,16890.13,16917.86
16933.99,1669834500000,16940.83,16903.30,16903.30
17010.17,1669834800000,17010.17,16933.99,16933.99
16980.24,1669835100000,17007.18,16978.94,17007.18
17038.61,1669835400000,17053.25,16980.24,16980.24
17128.47,1669835700000,17128.47,17005.87,17042.25
17071.65,1669836000000,17139.78,17068.72,17139.78
17108.34,1669836300000,17108.34,17067.82,17072.81
17071.32,1669836600000,17116.30,17057.49,17107.86
17039.56,1669836900000,17073.96,17039.54,17069.22
17023.44,1669837200000,17050.06,16987.70,17041.40
17030.07,1669837500000,17048.63,17025.01,17026.91
17045.70,1669837800000,17057.68,17032.77,17032.77
17050.20,1669838100000,17063.77,17037.09,17061.20
17040.67,1669838400000,17057.44,17038.32,17056.34
17048.69,1669838700000,17048.69,17033.83,17040.72
17040.88,1669839000000,17049.53,17036.17,17044.65
17057.06,1669839300000,17063.97,17029.33,17030.00
17059.16,1669839600000,17070.78,17054.39,17057.06
17067.55,1669839900000,17076.10,17059.07,17059.08
17057.88,1669840200000,17066.65,17047.66,17055.28
17054.15,1669840500000,17062.80,17047.10,17061.40
17037.49,1669840800000,17052.20,17033.19,17049.80
17033.31,1669841100000,17047.30,17033.31,17039.27
17044.03,1669841400000,17044.03,17036.00,17037.44
17087.00,1669841700000,17087.00,17042.78,17044.06
17068.12,1669842000000,17092.38,17052.91,17077.11
17056.96,1669842300000,17076.78,17049.77,17062.30
17039.47,1669842600000,17059.40,17033.32,17051.30
17008.00,1669842900000,17053.76,16999.50,17035.17
17027.20,1669843200000,17038.10,17021.60,17028.01
17033.07,1669843500000,17039.20,17031.43,17031.70
17051.84,1669843800000,17055.30,17030.33,17033.09
17059.00,1669844100000,17059.37,17051.55,17051.56
17059.36,1669844400000,17059.36,17047.07,17051.87
17083.53,1669844700000,17083.53,17045.70,17059.36
17086.80,1669845000000,17086.80,17053.65,17053.65
17101.05,1669845300000,17102.09,17085.00,17085.89
17098.82,1669845600000,17102.31,17092.14,17102.10
17098.26,1669845900000,17116.13,17097.02,17097.02
17093.04,1669846200000,17101.05,17085.00,17099.37
17082.39,1669846500000,17093.02,17081.40,17093.02
17097.63,1669846800000,17102.72,17083.89,17085.09
17101.26,1669847100000,17107.08,17097.72,17097.72
17108.05,1669847400000,17118.52,17092.17,17101.20
17083.65,1669847700000,17102.28,17074.33,17102.28
17091.52,1669848000000,17099.87,17079.72,17083.64
17102.10,1669848300000,17103.47,17090.01,17091.73
17114.61,1669848600000,17114.61,17099.28,17102.45
17155.00,1669848900000,17233.34,17114.31,17116.01
17153.63,1669849200000,17185.17,17120.10,17162.90
17118.09,1669849500000,17157.87,17114.04,17156.10
17160.77,1669849800000,17168.43,17120.79,17120.79
17160.05,1669850100000,17168.97,17144.34,17168.96
17162.36,1669850400000,17175.78,17150.95,17156.60
17174.52,1669850700000,17189.41,17162.36,17162.36
17132.66,1669851000000,17184.84,17132.66,17170.81
17184.18,1669851300000,17184.18,17147.46,17147.46
17212.18,1669851600000,17215.28,17173.96,17180.08
17191.00,1669851900000,17217.65,17153.78,17217.65
17156.45,1669852200000,17191.00,17156.45,17191.00
17158.95,1669852500000,17179.99,17157.27,17177.12
17167.19,1669852800000,17174.62,17159.81,17159.81
17147.86,1669853100000,17168.63,17100.87,17160.84
17172.06,1669853400000,17174.60,17149.90,17149.90
17169.33,1669853700000,17210.71,17169.33,17170.00
17185.51,1669854000000,17214.17,17173.59,17173.60
17186.25,1669854300000,17200.99,17171.59,17193.31
17173.84,1669854600000,17200.99,17170.01,17200.99
17169.33,1669854900000,17174.29,17169.33,17174.23
17161.36,1669855200000,17171.44,17153.14,17170.74
17162.08,1669855500000,17171.15,17150.01,17156.47
17135.49,1669855800000,17165.15,17130.00,17165.15
17159.75,1669856100000,17160.29,17135.49,17135.49
17150.60,1669856400000,17160.38,17144.97,17159.97
17142.32,1669856700000,17160.40,17140.80,17153.20
17138.67,1669857000000,17140.80,17117.79,17140.78
17134.36,1669857300000,17150.36,17126.49,17144.66
17139.45,1669857600000,17143.70,17128.39,17134.36
17122.08,1669857900000,17129.15,17117.13,17127.68
17125.99,1669858200000,17127.10,17124.12,17124.18
17134.37,1669858500000,17137.03,17127.11,17127.11
17131.76,1669858800000,17131.83,17130.73,17131.83
17134.77,1669859100000,17136.17,17124.41,17130.11
17125.31,1669859400000,17135.78,17125.31,17132.19
17114.83,1669859700000,17123.49,17108.25,17123.09
17128.48,1669860000000,17128.48,17114.07,17114.83
17138.50,1669860300000,17138.50,17125.70,17128.48
17133.80,1669860600000,17138.96,17130.45,17138.92
17131.66,1669860900000,17133.74,17122.65,17133.74
17111.81,1669861200000,17123.53,17106.12,17123.53
17108.07,1669861500000,17116.45,17107.84,17114.89
17100.53,1669861800000,17120.59,17100.00,17112.62
17105.21,1669862100000,17110.89,17100.01,17100.53
